,id,name,area_name,salary_from,salary_to,salary_ccy,salary_gross
15742,46830122,Специалист по сопровождению клиентов,Екатеринбург,30000.0,50000.0,RUR,False
15744,46831434,Backend-разработчик,Москва,,,,
15745,46831466,Консультант 1С,Москва,80000.0,,RUR,False
15746,46831491,Backend разработчик (Pochta.ru),Санкт-Петербург,,,,
15747,46831832,Разработчик - программист 1С,Москва,,,,
15748,46831975,Ведущий QA-Инженер,Москва,,,,
15752,46832647,Программист-разработчик,Москва,,,,
15753,46832654,DevOps инженер (Медицина),Москва,,,,
15755,46833081,System Analyst,Москва,,,,
15756,46833346,Data Engineer,Нижний Новгород,,,,
15757,46833350,Data Engineer,Казань,,,,
15758,46833355,Data Engineer,Новосибирск,,,,
15759,46833361,Data Engineer,Екатеринбург,,,,
15764,46835458,Специалист технической поддержки,Санкт-Петербург,,,,
15765,46835465,Специалист технической поддержки,Казань,,,,
15766,46835541,Ведущий программист 1C,Владивосток,100000.0,110000.0,RUR,False
15772,46837741,Программист 1 С: ERP,Энгельс,,,,
15774,46838100,Инженер-программист микроконтроллеров,Екатеринбург,,,,
15775,46838168,Java разработчик в команду DataSphere,Санкт-Петербург,,,,
15778,46838336,Бизнес-аналитик по производственным процессам,Набережные Челны,80000.0,,RUR,True
15782,46839025,Data-scientist,Петрозаводск,,,,
15784,46839502,Системный аналитик АСУ ТП,Москва,,,,
15787,46840438,IT-специалист,Красноярск,25000.0,30000.0,RUR,False
15788,46840704,Frontend-разработчик,Москва,,,,
15789,46840859,Специалист клиентской поддержки Битрикс24 (испанский и английский языки),Калининград,35000.0,50000.0,RUR,False
15790,46841076,Специалист (Тестирование банковских систем),Воронеж,,,,
15791,46841337,Программист 1C (ERP 2),Москва,,,,
15798,46843203,Junior PHP разработчик,Новосибирск,40000.0,,RUR,False
15799,46843220,PHP разработчик,Новосибирск,85000.0,,RUR,False
15802,46843911,Специалист по анализу защищенности / Пентестер,Москва,,,,
15803,46844433,Программист 1С,Зеленоград,45000.0,55000.0,RUR,True
15807,46844748,Системный аналитик/ ВТБ Страхование,Ижевск,,,,
15808,46845268,Backend Developer (Golang),Москва,,,,
15811,46845407,Web-программист,Краснодар,,100000.0,RUR,True
15812,46845418,Главный специалист поддержки уровня 2+,Новосибирск,,,,
15813,46845508,Специалист технической поддержки,Ростов-на-Дону,36500.0,36500.0,RUR,False
15814,46845613,Junior Developer,Омск,30000.0,75000.0,RUR,False
15815,46845866,Инженер по ручному тестированию (Framework),Казань,,,,
15817,46845950,BI Support Engineer,Москва,,,,
15818,46846130,Консультант/Аналитик 1C,Москва,,,,
15819,46846140,Ведущий специалист SAP GRC [id110182],Санкт-Петербург,,,,
15820,46846223,Программист GoLang,Москва,,,,
15821,46846405,Инженер-тестировщик 1С,Москва,,,,
15822,46846740,Программист 1С,Москва,,,,
15823,46846741,Программист 1С,Екатеринбург,,,,
15824,46846742,Программист 1С,Калининград,,,,
15827,46847243,Программист 1С,Ярославль,,,,
15829,46847809,Системный аналитик,Пермь,65000.0,,RUR,False
15834,46849521,Ведущий специалист по автоматизации тестирования,Москва,,250000.0,RUR,False
15835,46849766,Java-разработчик,Москва,,,,
15836,46850038,Старший системный администратор,Ярославль,40000.0,,RUR,False
15838,46851386,Специалист технической поддержки,Краснодар,,,,
15842,46853134,Бизнес-аналитик,Москва,,,,
15844,46853393,Сетевой инженер,Ростов-на-Дону,40000.0,,RUR,False
15847,46853585,Менеджер по качеству,Москва,,,,
15849,46854248,Разработчик iOS Middle/Senior,Москва,,,,
15853,46854600,Системный администратор,Воскресенск,33000.0,,RUR,False
15856,46855147,Инженер отдела технической поддержки,Санкт-Петербург,70000.0,,RUR,False
15858,46856460,"Консультант 1С (Торговля, Склад, Оперативный учет)",Саратов,50000.0,70000.0,RUR,True
15859,46856478,Java/Kotlin разработчик,Москва,,,,
15860,46856734,"Консультант 1С (Бухгалтерия, Зарплата)",Саратов,50000.0,70000.0,RUR,True
15862,46857101,QA engineer,Москва,130000.0,200000.0,RUR,False
15863,46857306,Junior frontend-разработчик (React),Санкт-Петербург,50000.0,,RUR,False
15864,46857375,Специалист Data Science,Москва,100000.0,200000.0,RUR,False
15865,46857531,Middle Backend developer (PHP),Москва,160000.0,,RUR,False
