,id,area_name,address_lat,address_lng,employer_id,employer_name
38391,48575996,Санкт-Петербург,59.963778,30.343383,3686105,АНТ-Цифровые Сервисы
38393,48576094,Москва,,,4594,Daylight
38396,48576260,Москва,,,599,"РОСБАНК, Societe Generale Group (Russia)"
38400,48576327,Москва,55.961042,37.412209,125493,Авиакомпания Россия
38401,48576347,Пенза,53.198316,45.010204,3778,ИнфоТеКС
38405,48576490,Санкт-Петербург,59.924763,30.385685,1411998,ImageSpark
38408,48576730,Москва,,,6769,"EPAM Systems, Inc."
38409,48576731,Санкт-Петербург,,,6769,"EPAM Systems, Inc."
38410,48576854,Новосибирск,,,26624,Positive Technologies
38411,48576907,Москва,,,5136148,Нью Вэйв Гейминг
38413,48576955,Санкт-Петербург,59.855227,30.248333,64533,ВАСТ Ассоциация
38416,48577094,Москва,55.700892,37.625433,222045,"Борлас, Консалтинговая группа"
38417,48577115,Санкт-Петербург,59.942367,30.354127,26624,Positive Technologies
38419,48577131,Нижний Новгород,56.308285,44.002995,26624,Positive Technologies
38422,48577256,Екатеринбург,56.845199,60.634009,2927531,Слон-Электроникс
38424,48577301,Челябинск,,,3776,МТС
38428,48577381,Воронеж,51.674187,39.184746,2036138,Джаст
38429,48577429,Москва,55.690106,37.569306,3655598,ФГБУ НМИЦ эндокринологии Минздрава России
38435,48577565,Томск,56.465778,84.980392,3778,ИнфоТеКС
38436,48577586,Москва,55.814462,37.385412,3716085,Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области
38439,48577682,Москва,,,2000762,СКИФ-Проект
38440,48577729,Пенза,53.2197,44.999254,2472075,Облачные решения
38443,48577935,Москва,55.684503,37.340433,2736,Российская экономическая школа (институт)
38444,48577964,Санкт-Петербург,59.934231,30.31029,2953299,КЛЭЙ ГЛОБАЛ
38447,48578050,Москва,55.708932,37.593093,1630546,Ойл Ресурс Групп
38449,48578143,Екатеринбург,56.836101,60.614578,4515,JetStyle
38452,48578301,Санкт-Петербург,59.87416,30.255537,61166,ГАЗИНФОРМСЕРВИС
38458,48578986,Москва,55.752658,37.587227,5295589,Хронос
38460,48579152,Казань,,,156424,ICL Services
38463,48579460,Москва,,,103944,РТИ
38464,48579505,Москва,55.774289,37.669145,5344909,Encore
38466,48579837,Вологда,,,1740,Яндекс
38467,48579838,Череповец,,,1740,Яндекс
38468,48579839,Архангельск,,,1740,Яндекс
38469,48579840,Хабаровск,,,1740,Яндекс
38470,48579841,Астрахань,,,1740,Яндекс
38471,48579842,Кемерово,,,1740,Яндекс
38472,48579843,Курск,,,1740,Яндекс
38473,48579844,Липецк,,,1740,Яндекс
38474,48579845,Новосибирск,,,1740,Яндекс
38475,48579846,Омск,,,1740,Яндекс
38476,48579847,Оренбург,,,1740,Яндекс
38477,48579848,Орел,,,1740,Яндекс
38478,48579849,Пенза,,,1740,Яндекс
38479,48579850,Пермь,,,1740,Яндекс
38480,48579851,Ростов-на-Дону,,,1740,Яндекс
38481,48579852,Смоленск,,,1740,Яндекс
38482,48579853,Тамбов,,,1740,Яндекс
38483,48579854,Тверь,,,1740,Яндекс
38484,48579855,Тула,,,1740,Яндекс
38485,48579856,Тюмень,,,1740,Яндекс
38486,48579857,Челябинск,,,1740,Яндекс
38487,48579858,Березники,,,1740,Яндекс
38488,48579859,Чайковский,,,1740,Яндекс
38489,48579860,Дмитров,,,1740,Яндекс
38490,48579861,Каменск-Уральский,,,1740,Яндекс
38491,48579862,Нижний Тагил,,,1740,Яндекс
38492,48579863,Дзержинск (Нижегородская область),,,1740,Яндекс
38493,48579864,Саров,,,1740,Яндекс
38494,48579865,Арзамас,,,1740,Яндекс
38495,48579866,Тольятти,,,1740,Яндекс
38496,48579867,Сызрань,,,1740,Яндекс
38497,48579868,Краснодар,,,1740,Яндекс
38498,48579869,Армавир,,,1740,Яндекс
38499,48579870,Новороссийск,,,1740,Яндекс
38500,48579871,Сочи,,,1740,Яндекс
38501,48579872,Стерлитамак,,,1740,Яндекс
38502,48579873,Салават,,,1740,Яндекс
38503,48579874,Нефтекамск,,,1740,Яндекс
38504,48579875,Россошь,,,1740,Яндекс
38505,48579876,Борисоглебск,,,1740,Яндекс
38506,48579877,Новокузнецк,,,1740,Яндекс
38507,48579878,Ижевск,,,1740,Яндекс
38508,48579879,Набережные Челны,,,1740,Яндекс
38509,48579880,Балашиха,,,1740,Яндекс
38510,48579881,Ржев,,,1740,Яндекс
38511,48579882,Вышний Волочек,,,1740,Яндекс
38512,48579883,Новомосковск (Тульская область),,,1740,Яндекс
38513,48579884,Ливны,,,1740,Яндекс
